"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW2,SW1";"SW_Push_SPST_NO_Alps_SKRK";2;"SW_Push";;;
2;"D1,D2";"LED_0603_1608Metric";2;"LED";;;
3;"R4";"R_0402_1005Metric";1;"10k";;;
4;"C5,C7,C2,C4,C6";"C_0402_1005Metric";5;"100n";;;
5;"L1";"L_0201_0603Metric";1;"27n";;;
6;"R3";"R_0402_1005Metric";1;"1.5k";;;
7;"U1";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm";1;"TLV75533PDRV";;;
8;"C8,C1,C11,C9,C10";"C_0603_1608Metric";5;"1u";;;
9;"FB1";"L_0805_2012Metric";1;"100R";;;
10;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8T6";;;
11;"J1";"USB_Micro-B_Wuerth_629105150521";1;"USB_B_Micro";;;
12;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm";1;"8M";;;
13;"C3";"C_0603_1608Metric";1;"4u7";;;
14;"J2,J3";"PinHeader_1x15_P2.54mm_Vertical";2;"Conn_01x15";;;
15;"R2";"R_0201_0603Metric";1;"4.7k";;;
16;"C12,C13";"C_0402_1005Metric";2;"30p";;;
17;"R1";"R_0603_1608Metric";1;"1.5k";;;
18;"R5";"R_0402_1005Metric";1;"1k5";;;
